geom,lat,lon,rainfall_avg,temp_avg,soil_type,drought_frequency
POINT(-119.62000000000027 36.6200000000001),36.6200000000001,-119.62000000000027,16.4,44.98,Silt,5.0
POINT(-119.60000000000028 36.6200000000001),36.6200000000001,-119.60000000000028,9.48,49.79,Peat,5.0
POINT(-119.58000000000028 36.6200000000001),36.6200000000001,-119.58000000000028,27.56,61.7,Peat,5.0
POINT(-119.56000000000029 36.6200000000001),36.6200000000001,-119.56000000000029,28.85,51.07,Peat,4.4
POINT(-119.54000000000029 36.6200000000001),36.6200000000001,-119.54000000000029,22.1,66.26,Peat,5.0
POINT(-119.5200000000003 36.6200000000001),36.6200000000001,-119.5200000000003,23.64,68.94,Peat,3.81
POINT(-119.5000000000003 36.6200000000001),36.6200000000001,-119.5000000000003,22.91,71.1,Chalky,4.95
POINT(-119.4800000000003 36.6200000000001),36.6200000000001,-119.4800000000003,19.16,46.39,Chalky,4.65
POINT(-119.4600000000003 36.6200000000001),36.6200000000001,-119.4600000000003,16.23,55.03,Chalky,5.0
POINT(-119.44000000000031 36.6200000000001),36.6200000000001,-119.44000000000031,22.66,70.22,Chalky,5.0
POINT(-119.42000000000031 36.6200000000001),36.6200000000001,-119.42000000000031,18.84,47.95,Chalky,4.95
POINT(-119.40000000000032 36.6200000000001),36.6200000000001,-119.40000000000032,20.02,48.98,Loam,5.0
POINT(-119.38000000000032 36.6200000000001),36.6200000000001,-119.38000000000032,27.34,47.44,Loam,4.38
POINT(-119.36000000000033 36.6200000000001),36.6200000000001,-119.36000000000033,23.84,59.01,Loam,4.51
POINT(-119.34000000000033 36.6200000000001),36.6200000000001,-119.34000000000033,26.34,61.06,Loam,3.26
POINT(-119.32000000000033 36.6200000000001),36.6200000000001,-119.32000000000033,24.93,47.88,Loam,3.54
POINT(-119.30000000000034 36.6200000000001),36.6200000000001,-119.30000000000034,25.32,46.4,Sandy Loam,3.23
POINT(-119.28000000000034 36.6200000000001),36.6200000000001,-119.28000000000034,10.72,47.78,Sandy Loam,5.0
POINT(-119.26000000000035 36.6200000000001),36.6200000000001,-119.26000000000035,18.71,71.55,Sandy Loam,5.0
POINT(-119.24000000000035 36.6200000000001),36.6200000000001,-119.24000000000035,12.76,71.59,Sandy Loam,5.0
POINT(-119.22000000000035 36.6200000000001),36.6200000000001,-119.22000000000035,19.45,50.43,Sandy Loam,4.4
POINT(-119.20000000000036 36.6200000000001),36.6200000000001,-119.20000000000036,14.59,71.55,Clay Loam,5.0
POINT(-119.18000000000036 36.6200000000001),36.6200000000001,-119.18000000000036,24.58,49.11,Clay Loam,4.18
POINT(-119.16000000000037 36.6200000000001),36.6200000000001,-119.16000000000037,18.69,46.28,Clay Loam,5.0
POINT(-119.14000000000037 36.6200000000001),36.6200000000001,-119.14000000000037,9.2,67.39,Clay Loam,5.0
POINT(-119.12000000000037 36.6200000000001),36.6200000000001,-119.12000000000037,16.9,58.32,Clay Loam,5.0
POINT(-119.10000000000038 36.6200000000001),36.6200000000001,-119.10000000000038,10.38,50.59,Silt,5.0
POINT(-119.08000000000038 36.6200000000001),36.6200000000001,-119.08000000000038,21.81,74.54,Silt,4.99
POINT(-119.06000000000039 36.6200000000001),36.6200000000001,-119.06000000000039,11.93,51.1,Silt,5.0
POINT(-119.04000000000039 36.6200000000001),36.6200000000001,-119.04000000000039,12.62,58.24,Silt,5.0
POINT(-119.0200000000004 36.6200000000001),36.6200000000001,-119.0200000000004,24.08,61.44,Silt,5.0
POINT(-119.0000000000004 36.6200000000001),36.6200000000001,-119.0000000000004,22.88,65.22,Peat,5.0
POINT(-121.0 36.6400000000001),36.6400000000001,-121.0,34.25,69.72,Clay Loam,3.15
POINT(-120.98 36.6400000000001),36.6400000000001,-120.98,30.07,50.68,Clay Loam,2.95
POINT(-120.96000000000001 36.6400000000001),36.6400000000001,-120.96000000000001,32.35,60.68,Clay Loam,3.91
POINT(-120.94000000000001 36.6400000000001),36.6400000000001,-120.94000000000001,25.01,58.39,Silt,3.55
POINT(-120.92000000000002 36.6400000000001),36.6400000000001,-120.92000000000002,17.93,56.79,Silt,5.0
POINT(-120.90000000000002 36.6400000000001),36.6400000000001,-120.90000000000002,28.78,62.32,Silt,3.76
POINT(-120.88000000000002 36.6400000000001),36.6400000000001,-120.88000000000002,29.91,60.33,Silt,3.04
POINT(-120.86000000000003 36.6400000000001),36.6400000000001,-120.86000000000003,31.29,42.62,Silt,3.67
POINT(-120.84000000000003 36.6400000000001),36.6400000000001,-120.84000000000003,25.25,67.5,Peat,4.69
POINT(-120.82000000000004 36.6400000000001),36.6400000000001,-120.82000000000004,28.13,53.95,Peat,4.09
POINT(-120.80000000000004 36.6400000000001),36.6400000000001,-120.80000000000004,22.51,57.49,Peat,3.98
POINT(-120.78000000000004 36.6400000000001),36.6400000000001,-120.78000000000004,16.17,43.65,Peat,4.98
POINT(-120.76000000000005 36.6400000000001),36.6400000000001,-120.76000000000005,29.67,70.99,Peat,3.65
POINT(-120.74000000000005 36.6400000000001),36.6400000000001,-120.74000000000005,25.95,49.69,Chalky,3.32
POINT(-120.72000000000006 36.6400000000001),36.6400000000001,-120.72000000000006,21.04,71.96,Chalky,4.39
POINT(-120.70000000000006 36.6400000000001),36.6400000000001,-120.70000000000006,30.37,51.09,Chalky,3.03
POINT(-120.68000000000006 36.6400000000001),36.6400000000001,-120.68000000000006,34.26,69.45,Chalky,4.21
POINT(-120.66000000000007 36.6400000000001),36.6400000000001,-120.66000000000007,26.33,47.92,Chalky,4.45
POINT(-120.64000000000007 36.6400000000001),36.6400000000001,-120.64000000000007,22.38,72.05,Loam,4.84
POINT(-120.62000000000008 36.6400000000001),36.6400000000001,-120.62000000000008,26.92,43.22,Loam,4.62
POINT(-120.60000000000008 36.6400000000001),36.6400000000001,-120.60000000000008,18.1,54.18,Loam,5.0
POINT(-120.58000000000008 36.6400000000001),36.6400000000001,-120.58000000000008,30.23,61.83,Loam,2.94
POINT(-120.56000000000009 36.6400000000001),36.6400000000001,-120.56000000000009,25.54,62.69,Loam,4.49
POINT(-120.54000000000009 36.6400000000001),36.6400000000001,-120.54000000000009,33.88,44.69,Sandy Loam,3.52
POINT(-120.5200000000001 36.6400000000001),36.6400000000001,-120.5200000000001,20.22,59.83,Sandy Loam,5.0
POINT(-120.5000000000001 36.6400000000001),36.6400000000001,-120.5000000000001,17.73,63.51,Sandy Loam,5.0
POINT(-120.4800000000001 36.6400000000001),36.6400000000001,-120.4800000000001,27.35,59.2,Sandy Loam,3.94
POINT(-120.46000000000011 36.6400000000001),36.6400000000001,-120.46000000000011,27.74,53.06,Sandy Loam,4.76
POINT(-120.44000000000011 36.6400000000001),36.6400000000001,-120.44000000000011,20.97,56.91,Clay Loam,5.0
POINT(-120.42000000000012 36.6400000000001),36.6400000000001,-120.42000000000012,21.24,67.94,Clay Loam,5.0
POINT(-120.40000000000012 36.6400000000001),36.6400000000001,-120.40000000000012,16.15,57.86,Clay Loam,5.0
POINT(-120.38000000000012 36.6400000000001),36.6400000000001,-120.38000000000012,20.32,60.88,Clay Loam,5.0
POINT(-120.36000000000013 36.6400000000001),36.6400000000001,-120.36000000000013,21.14,71.9,Clay Loam,5.0
POINT(-120.34000000000013 36.6400000000001),36.6400000000001,-120.34000000000013,27.76,50.67,Clay Loam,4.28
POINT(-120.32000000000014 36.6400000000001),36.6400000000001,-120.32000000000014,20.94,49.28,Silt,3.91
POINT(-120.30000000000014 36.6400000000001),36.6400000000001,-120.30000000000014,16.31,62.72,Silt,5.0
POINT(-120.28000000000014 36.6400000000001),36.6400000000001,-120.28000000000014,16.38,69.79,Silt,5.0
POINT(-120.26000000000015 36.6400000000001),36.6400000000001,-120.26000000000015,14.29,65.34,Silt,5.0
POINT(-120.24000000000015 36.6400000000001),36.6400000000001,-120.24000000000015,29.92,44.22,Silt,3.34
POINT(-120.22000000000016 36.6400000000001),36.6400000000001,-120.22000000000016,18.71,71.89,Peat,5.0
POINT(-120.20000000000016 36.6400000000001),36.6400000000001,-120.20000000000016,24.1,44.22,Peat,4.57
POINT(-120.18000000000016 36.6400000000001),36.6400000000001,-120.18000000000016,31.31,49.26,Peat,3.39
POINT(-120.16000000000017 36.6400000000001),36.6400000000001,-120.16000000000017,22.72,53.94,Peat,5.0
POINT(-120.14000000000017 36.6400000000001),36.6400000000001,-120.14000000000017,14.06,72.89,Peat,5.0
POINT(-120.12000000000018 36.6400000000001),36.6400000000001,-120.12000000000018,25.32,46.82,Chalky,3.52
POINT(-120.10000000000018 36.6400000000001),36.6400000000001,-120.10000000000018,22.55,72.29,Chalky,4.32
POINT(-120.08000000000018 36.6400000000001),36.6400000000001,-120.08000000000018,11.98,47.68,Chalky,5.0
POINT(-120.06000000000019 36.6400000000001),36.6400000000001,-120.06000000000019,28.7,71.01,Chalky,3.93
POINT(-120.04000000000019 36.6400000000001),36.6400000000001,-120.04000000000019,16.43,70.02,Chalky,5.0
POINT(-120.0200000000002 36.6400000000001),36.6400000000001,-120.0200000000002,13.83,70.35,Loam,5.0
POINT(-120.0000000000002 36.6400000000001),36.6400000000001,-120.0000000000002,27.67,50.7,Loam,3.02
POINT(-119.9800000000002 36.6400000000001),36.6400000000001,-119.9800000000002,14.4,49.92,Loam,5.0
POINT(-119.9600000000002 36.6400000000001),36.6400000000001,-119.9600000000002,30.05,45.67,Loam,3.71
POINT(-119.94000000000021 36.6400000000001),36.6400000000001,-119.94000000000021,25.88,72.79,Loam,4.29
POINT(-119.92000000000021 36.6400000000001),36.6400000000001,-119.92000000000021,14.09,60.29,Sandy Loam,5.0
POINT(-119.90000000000022 36.6400000000001),36.6400000000001,-119.90000000000022,29.89,67.12,Sandy Loam,4.68
POINT(-119.88000000000022 36.6400000000001),36.6400000000001,-119.88000000000022,16.17,69.14,Sandy Loam,5.0
POINT(-119.86000000000023 36.6400000000001),36.6400000000001,-119.86000000000023,19.19,55.35,Sandy Loam,5.0
POINT(-119.84000000000023 36.6400000000001),36.6400000000001,-119.84000000000023,17.28,51.43,Sandy Loam,5.0
POINT(-119.82000000000023 36.6400000000001),36.6400000000001,-119.82000000000023,22.78,56.04,Clay Loam,4.45
POINT(-119.80000000000024 36.6400000000001),36.6400000000001,-119.80000000000024,29.81,56.14,Clay Loam,2.92
POINT(-119.78000000000024 36.6400000000001),36.6400000000001,-119.78000000000024,27.92,53.21,Clay Loam,4.08
POINT(-119.76000000000025 36.6400000000001),36.6400000000001,-119.76000000000025,28.34,49.35,Clay Loam,3.79
POINT(-119.74000000000025 36.6400000000001),36.6400000000001,-119.74000000000025,26.21,56.25,Clay Loam,5.0
POINT(-119.72000000000025 36.6400000000001),36.6400000000001,-119.72000000000025,19.25,45.19,Silt,5.0
POINT(-119.70000000000026 36.6400000000001),36.6400000000001,-119.70000000000026,26.94,64.33,Silt,4.38
POINT(-119.68000000000026 36.6400000000001),36.6400000000001,-119.68000000000026,17.65,71.6,Silt,5.0
POINT(-119.66000000000027 36.6400000000001),36.6400000000001,-119.66000000000027,24.92,57.34,Silt,3.96
POINT(-119.64000000000027 36.6400000000001),36.6400000000001,-119.64000000000027,11.36,44.74,Silt,5.0
POINT(-119.62000000000027 36.6400000000001),36.6400000000001,-119.62000000000027,11.23,45.92,Peat,5.0
POINT(-119.60000000000028 36.6400000000001),36.6400000000001,-119.60000000000028,23.3,58.77,Peat,5.0
POINT(-119.58000000000028 36.6400000000001),36.6400000000001,-119.58000000000028,9.84,46.33,Peat,5.0
POINT(-119.56000000000029 36.6400000000001),36.6400000000001,-119.56000000000029,19.26,53.83,Peat,5.0
POINT(-119.54000000000029 36.6400000000001),36.6400000000001,-119.54000000000029,19.44,62.33,Peat,4.87
POINT(-119.5200000000003 36.6400000000001),36.6400000000001,-119.5200000000003,18.45,60.12,Chalky,5.0
POINT(-119.5000000000003 36.6400000000001),36.6400000000001,-119.5000000000003,22.15,45.67,Chalky,5.0
POINT(-119.4800000000003 36.6400000000001),36.6400000000001,-119.4800000000003,11.03,65.17,Chalky,5.0
POINT(-119.4600000000003 36.6400000000001),36.6400000000001,-119.4600000000003,26.4,55.01,Chalky,3.8
POINT(-119.44000000000031 36.6400000000001),36.6400000000001,-119.44000000000031,20.94,54.5,Chalky,4.74
POINT(-119.42000000000031 36.6400000000001),36.6400000000001,-119.42000000000031,23.94,58.11,Loam,4.65
POINT(-119.40000000000032 36.6400000000001),36.6400000000001,-119.40000000000032,24.98,59.18,Loam,4.99
POINT(-119.38000000000032 36.6400000000001),36.6400000000001,-119.38000000000032,20.89,61.75,Loam,5.0
POINT(-119.36000000000033 36.6400000000001),36.6400000000001,-119.36000000000033,23.53,74.37,Loam,4.87
POINT(-119.34000000000033 36.6400000000001),36.6400000000001,-119.34000000000033,16.68,70.24,Loam,5.0
POINT(-119.32000000000033 36.6400000000001),36.6400000000001,-119.32000000000033,8.28,55.28,Sandy Loam,5.0
POINT(-119.30000000000034 36.6400000000001),36.6400000000001,-119.30000000000034,10.74,56.84,Sandy Loam,5.0
POINT(-119.28000000000034 36.6400000000001),36.6400000000001,-119.28000000000034,27.68,45.29,Sandy Loam,4.41
POINT(-119.26000000000035 36.6400000000001),36.6400000000001,-119.26000000000035,9.51,56.62,Sandy Loam,5.0
POINT(-119.24000000000035 36.6400000000001),36.6400000000001,-119.24000000000035,11.36,64.14,Sandy Loam,5.0
POINT(-119.22000000000035 36.6400000000001),36.6400000000001,-119.22000000000035,23.99,71.63,Clay Loam,4.57
POINT(-119.20000000000036 36.6400000000001),36.6400000000001,-119.20000000000036,12.89,47.62,Clay Loam,5.0
POINT(-119.18000000000036 36.6400000000001),36.6400000000001,-119.18000000000036,22.43,47.9,Clay Loam,5.0
POINT(-119.16000000000037 36.6400000000001),36.6400000000001,-119.16000000000037,15.42,48.92,Clay Loam,5.0
POINT(-119.14000000000037 36.6400000000001),36.6400000000001,-119.14000000000037,14.49,72.04,Clay Loam,5.0
POINT(-119.12000000000037 36.6400000000001),36.6400000000001,-119.12000000000037,17.9,68.1,Silt,5.0
POINT(-119.10000000000038 36.6400000000001),36.6400000000001,-119.10000000000038,16.31,52.86,Silt,5.0
POINT(-119.08000000000038 36.6400000000001),36.6400000000001,-119.08000000000038,7.92,58.22,Silt,5.0
POINT(-119.06000000000039 36.6400000000001),36.6400000000001,-119.06000000000039,10.89,53.06,Silt,5.0
POINT(-119.04000000000039 36.6400000000001),36.6400000000001,-119.04000000000039,10.93,71.82,Silt,5.0
POINT(-119.0200000000004 36.6400000000001),36.6400000000001,-119.0200000000004,8.75,49.68,Peat,5.0
POINT(-119.0000000000004 36.6400000000001),36.6400000000001,-119.0000000000004,19.28,68.88,Peat,5.0
POINT(-121.0 36.6600000000001),36.6600000000001,-121.0,36.1,64.51,Clay Loam,2.87
POINT(-120.98 36.6600000000001),36.6600000000001,-120.98,26.45,69.77,Clay Loam,4.02
POINT(-120.96000000000001 36.6600000000001),36.6600000000001,-120.96000000000001,17.45,57.46,Silt,5.0
POINT(-120.94000000000001 36.6600000000001),36.6600000000001,-120.94000000000001,32.34,53.24,Silt,3.97
POINT(-120.92000000000002 36.6600000000001),36.6600000000001,-120.92000000000002,34.98,43.48,Silt,2.96
POINT(-120.90000000000002 36.6600000000001),36.6600000000001,-120.90000000000002,21.47,71.27,Silt,5.0
POINT(-120.88000000000002 36.6600000000001),36.6600000000001,-120.88000000000002,25.17,42.39,Silt,4.33
POINT(-120.86000000000003 36.6600000000001),36.6600000000001,-120.86000000000003,22.74,58.95,Peat,4.63
POINT(-120.84000000000003 36.6600000000001),36.6600000000001,-120.84000000000003,26.92,45.54,Peat,4.03
POINT(-120.82000000000004 36.6600000000001),36.6600000000001,-120.82000000000004,32.11,61.33,Peat,3.98
POINT(-120.80000000000004 36.6600000000001),36.6600000000001,-120.80000000000004,16.84,53.44,Peat,5.0
POINT(-120.78000000000004 36.6600000000001),36.6600000000001,-120.78000000000004,26.59,55.09,Peat,3.88
POINT(-120.76000000000005 36.6600000000001),36.6600000000001,-120.76000000000005,31.48,48.72,Chalky,2.71
POINT(-120.74000000000005 36.6600000000001),36.6600000000001,-120.74000000000005,29.1,60.09,Chalky,4.8
POINT(-120.72000000000006 36.6600000000001),36.6600000000001,-120.72000000000006,19.14,56.93,Chalky,4.97
POINT(-120.70000000000006 36.6600000000001),36.6600000000001,-120.70000000000006,34.64,47.61,Chalky,2.3
POINT(-120.68000000000006 36.6600000000001),36.6600000000001,-120.68000000000006,20.25,46.85,Chalky,4.11
POINT(-120.66000000000007 36.6600000000001),36.6600000000001,-120.66000000000007,19.68,50.57,Loam,5.0
POINT(-120.64000000000007 36.6600000000001),36.6600000000001,-120.64000000000007,17.15,54.63,Loam,5.0
POINT(-120.62000000000008 36.6600000000001),36.6600000000001,-120.62000000000008,27.75,44.66,Loam,2.96
POINT(-120.60000000000008 36.6600000000001),36.6600000000001,-120.60000000000008,17.48,64.18,Loam,5.0
POINT(-120.58000000000008 36.6600000000001),36.6600000000001,-120.58000000000008,28.77,59.22,Loam,4.91
POINT(-120.56000000000009 36.6600000000001),36.6600000000001,-120.56000000000009,17.87,47.09,Sandy Loam,5.0
POINT(-120.54000000000009 36.6600000000001),36.6600000000001,-120.54000000000009,16.53,45.68,Sandy Loam,5.0
POINT(-120.5200000000001 36.6600000000001),36.6600000000001,-120.5200000000001,15.72,72.24,Sandy Loam,5.0
POINT(-120.5000000000001 36.6600000000001),36.6600000000001,-120.5000000000001,33.23,66.65,Sandy Loam,4.41
POINT(-120.4800000000001 36.6600000000001),36.6600000000001,-120.4800000000001,23.84,72.37,Sandy Loam,4.12
POINT(-120.46000000000011 36.6600000000001),36.6600000000001,-120.46000000000011,33.46,49.43,Clay Loam,3.98
POINT(-120.44000000000011 36.6600000000001),36.6600000000001,-120.44000000000011,19.05,43.98,Clay Loam,4.16
POINT(-120.42000000000012 36.6600000000001),36.6600000000001,-120.42000000000012,26.13,64.91,Clay Loam,5.0
POINT(-120.40000000000012 36.6600000000001),36.6600000000001,-120.40000000000012,27.94,58.43,Clay Loam,4.45
POINT(-120.38000000000012 36.6600000000001),36.6600000000001,-120.38000000000012,29.65,47.24,Clay Loam,3.71
POINT(-120.36000000000013 36.6600000000001),36.6600000000001,-120.36000000000013,31.66,44.84,Clay Loam,3.72
POINT(-120.34000000000013 36.6600000000001),36.6600000000001,-120.34000000000013,19.17,55.72,Silt,5.0
POINT(-120.32000000000014 36.6600000000001),36.6600000000001,-120.32000000000014,16.52,46.51,Silt,5.0
POINT(-120.30000000000014 36.6600000000001),36.6600000000001,-120.30000000000014,19.14,44.53,Silt,5.0
POINT(-120.28000000000014 36.6600000000001),36.6600000000001,-120.28000000000014,23.82,58.27,Silt,5.0
POINT(-120.26000000000015 36.6600000000001),36.6600000000001,-120.26000000000015,22.01,49.24,Silt,4.01
POINT(-120.24000000000015 36.6600000000001),36.6600000000001,-120.24000000000015,23.92,70.77,Peat,4.46
POINT(-120.22000000000016 36.6600000000001),36.6600000000001,-120.22000000000016,16.5,61.89,Peat,5.0
POINT(-120.20000000000016 36.6600000000001),36.6600000000001,-120.20000000000016,30.0,51.21,Peat,3.74
POINT(-120.18000000000016 36.6600000000001),36.6600000000001,-120.18000000000016,21.51,71.33,Peat,5.0
POINT(-120.16000000000017 36.6600000000001),36.6600000000001,-120.16000000000017,17.04,50.32,Peat,5.0
POINT(-120.14000000000017 36.6600000000001),36.6600000000001,-120.14000000000017,13.56,65.52,Chalky,5.0
POINT(-120.12000000000018 36.6600000000001),36.6600000000001,-120.12000000000018,23.41,70.65,Chalky,4.4
POINT(-120.10000000000018 36.6600000000001),36.6600000000001,-120.10000000000018,21.71,69.31,Chalky,4.63
POINT(-120.08000000000018 36.6600000000001),36.6600000000001,-120.08000000000018,23.9,60.25,Chalky,4.6
POINT(-120.06000000000019 36.6600000000001),36.6600000000001,-120.06000000000019,16.4,49.18,Chalky,5.0
POINT(-120.04000000000019 36.6600000000001),36.6600000000001,-120.04000000000019,30.55,65.65,Loam,3.06
POINT(-120.0200000000002 36.6600000000001),36.6600000000001,-120.0200000000002,12.33,52.07,Loam,5.0
POINT(-120.0000000000002 36.6600000000001),36.6600000000001,-120.0000000000002,16.1,60.28,Loam,5.0
POINT(-119.9800000000002 36.6600000000001),36.6600000000001,-119.9800000000002,26.63,58.32,Loam,4.04
POINT(-119.9600000000002 36.6600000000001),36.6600000000001,-119.9600000000002,12.5,62.99,Loam,5.0
POINT(-119.94000000000021 36.6600000000001),36.6600000000001,-119.94000000000021,17.37,63.36,Sandy Loam,5.0
POINT(-119.92000000000021 36.6600000000001),36.6600000000001,-119.92000000000021,30.48,52.06,Sandy Loam,2.86
POINT(-119.90000000000022 36.6600000000001),36.6600000000001,-119.90000000000022,22.36,52.61,Sandy Loam,5.0
POINT(-119.88000000000022 36.6600000000001),36.6600000000001,-119.88000000000022,23.2,72.08,Sandy Loam,5.0
POINT(-119.86000000000023 36.6600000000001),36.6600000000001,-119.86000000000023,23.03,61.74,Sandy Loam,4.16
POINT(-119.84000000000023 36.6600000000001),36.6600000000001,-119.84000000000023,19.04,55.43,Clay Loam,5.0
POINT(-119.82000000000023 36.6600000000001),36.6600000000001,-119.82000000000023,12.31,48.48,Clay Loam,5.0
POINT(-119.80000000000024 36.6600000000001),36.6600000000001,-119.80000000000024,13.57,73.27,Clay Loam,5.0
POINT(-119.78000000000024 36.6600000000001),36.6600000000001,-119.78000000000024,26.0,60.51,Clay Loam,3.46
POINT(-119.76000000000025 36.6600000000001),36.6600000000001,-119.76000000000025,25.94,50.53,Clay Loam,3.94
POINT(-119.74000000000025 36.6600000000001),36.6600000000001,-119.74000000000025,26.53,72.91,Silt,4.2
POINT(-119.72000000000025 36.6600000000001),36.6600000000001,-119.72000000000025,20.91,73.42,Silt,5.0
POINT(-119.70000000000026 36.6600000000001),36.6600000000001,-119.70000000000026,12.92,53.7,Silt,5.0
POINT(-119.68000000000026 36.6600000000001),36.6600000000001,-119.68000000000026,22.12,73.62,Silt,4.65
POINT(-119.66000000000027 36.6600000000001),36.6600000000001,-119.66000000000027,9.96,61.94,Silt,5.0
POINT(-119.64000000000027 36.6600000000001),36.6600000000001,-119.64000000000027,12.18,60.23,Peat,5.0
POINT(-119.62000000000027 36.6600000000001),36.6600000000001,-119.62000000000027,20.52,54.68,Peat,5.0
POINT(-119.60000000000028 36.6600000000001),36.6600000000001,-119.60000000000028,15.31,72.26,Peat,5.0
POINT(-119.58000000000028 36.6600000000001),36.6600000000001,-119.58000000000028,26.41,67.96,Peat,4.65
POINT(-119.56000000000029 36.6600000000001),36.6600000000001,-119.56000000000029,17.0,54.68,Peat,5.0
POINT(-119.54000000000029 36.6600000000001),36.6600000000001,-119.54000000000029,29.04,53.07,Chalky,4.51
POINT(-119.5200000000003 36.6600000000001),36.6600000000001,-119.5200000000003,10.44,69.89,Chalky,5.0
POINT(-119.5000000000003 36.6600000000001),36.6600000000001,-119.5000000000003,12.98,61.24,Chalky,5.0
POINT(-119.4800000000003 36.6600000000001),36.6600000000001,-119.4800000000003,20.13,72.34,Chalky,4.64
POINT(-119.4600000000003 36.6600000000001),36.6600000000001,-119.4600000000003,26.47,49.78,Chalky,4.05
POINT(-119.44000000000031 36.6600000000001),36.6600000000001,-119.44000000000031,10.23,58.3,Loam,5.0
POINT(-119.42000000000031 36.6600000000001),36.6600000000001,-119.42000000000031,14.7,46.65,Loam,5.0
POINT(-119.40000000000032 36.6600000000001),36.6600000000001,-119.40000000000032,22.07,62.47,Loam,4.83
POINT(-119.38000000000032 36.6600000000001),36.6600000000001,-119.38000000000032,24.98,46.48,Loam,4.66
POINT(-119.36000000000033 36.6600000000001),36.6600000000001,-119.36000000000033,20.53,47.12,Loam,4.73
POINT(-119.34000000000033 36.6600000000001),36.6600000000001,-119.34000000000033,18.46,48.23,Sandy Loam,4.78
POINT(-119.32000000000033 36.6600000000001),36.6600000000001,-119.32000000000033,18.71,47.79,Sandy Loam,4.91
POINT(-119.30000000000034 36.6600000000001),36.6600000000001,-119.30000000000034,20.44,64.62,Sandy Loam,4.79
POINT(-119.28000000000034 36.6600000000001),36.6600000000001,-119.28000000000034,16.48,52.75,Sandy Loam,5.0
POINT(-119.26000000000035 36.6600000000001),36.6600000000001,-119.26000000000035,16.33,50.24,Sandy Loam,5.0
POINT(-119.24000000000035 36.6600000000001),36.6600000000001,-119.24000000000035,7.81,58.65,Clay Loam,5.0
POINT(-119.22000000000035 36.6600000000001),36.6600000000001,-119.22000000000035,19.15,48.86,Clay Loam,5.0
POINT(-119.20000000000036 36.6600000000001),36.6600000000001,-119.20000000000036,21.99,50.93,Clay Loam,5.0
POINT(-119.18000000000036 36.6600000000001),36.6600000000001,-119.18000000000036,18.79,65.67,Clay Loam,5.0
POINT(-119.16000000000037 36.6600000000001),36.6600000000001,-119.16000000000037,15.06,73.9,Clay Loam,5.0
POINT(-119.14000000000037 36.6600000000001),36.6600000000001,-119.14000000000037,8.17,56.4,Silt,5.0
POINT(-119.12000000000037 36.6600000000001),36.6600000000001,-119.12000000000037,10.13,70.47,Silt,5.0
POINT(-119.10000000000038 36.6600000000001),36.6600000000001,-119.10000000000038,19.39,64.14,Silt,5.0
POINT(-119.08000000000038 36.6600000000001),36.6600000000001,-119.08000000000038,10.68,47.5,Silt,5.0
POINT(-119.06000000000039 36.6600000000001),36.6600000000001,-119.06000000000039,17.75,71.51,Silt,5.0
POINT(-119.04000000000039 36.6600000000001),36.6600000000001,-119.04000000000039,15.53,46.34,Peat,5.0
POINT(-119.0200000000004 36.6600000000001),36.6600000000001,-119.0200000000004,12.47,65.47,Peat,5.0
POINT(-119.0000000000004 36.6600000000001),36.6600000000001,-119.0000000000004,13.5,68.4,Peat,5.0
POINT(-121.0 36.680000000000106),36.680000000000106,-121.0,25.35,52.72,Clay Loam,5.0
POINT(-120.98 36.680000000000106),36.680000000000106,-120.98,20.94,55.03,Silt,5.0
POINT(-120.96000000000001 36.680000000000106),36.680000000000106,-120.96000000000001,25.3,42.88,Silt,4.55
POINT(-120.94000000000001 36.680000000000106),36.680000000000106,-120.94000000000001,20.49,66.69,Silt,4.61
POINT(-120.92000000000002 36.680000000000106),36.680000000000106,-120.92000000000002,28.79,70.31,Silt,4.51
POINT(-120.90000000000002 36.680000000000106),36.680000000000106,-120.90000000000002,32.53,56.77,Silt,3.2
POINT(-120.88000000000002 36.680000000000106),36.680000000000106,-120.88000000000002,27.74,51.44,Peat,3.76
POINT(-120.86000000000003 36.680000000000106),36.680000000000106,-120.86000000000003,34.14,62.56,Peat,2.61
POINT(-120.84000000000003 36.680000000000106),36.680000000000106,-120.84000000000003,19.24,43.76,Peat,5.0
POINT(-120.82000000000004 36.680000000000106),36.680000000000106,-120.82000000000004,26.9,70.58,Peat,4.9
POINT(-120.80000000000004 36.680000000000106),36.680000000000106,-120.80000000000004,16.59,51.71,Peat,5.0
POINT(-120.78000000000004 36.680000000000106),36.680000000000106,-120.78000000000004,27.11,62.78,Chalky,3.21
POINT(-120.76000000000005 36.680000000000106),36.680000000000106,-120.76000000000005,24.23,65.04,Chalky,5.0
POINT(-120.74000000000005 36.680000000000106),36.680000000000106,-120.74000000000005,35.45,43.12,Chalky,2.39
POINT(-120.72000000000006 36.680000000000106),36.680000000000106,-120.72000000000006,19.78,63.11,Chalky,5.0
POINT(-120.70000000000006 36.680000000000106),36.680000000000106,-120.70000000000006,21.36,56.19,Chalky,4.53
POINT(-120.68000000000006 36.680000000000106),36.680000000000106,-120.68000000000006,25.62,46.61,Loam,4.73
POINT(-120.66000000000007 36.680000000000106),36.680000000000106,-120.66000000000007,16.13,44.28,Loam,5.0
POINT(-120.64000000000007 36.680000000000106),36.680000000000106,-120.64000000000007,19.92,55.95,Loam,5.0
